index;material;radius;one_bend;tool_exchange;over_12;l_1_-_500;l_501_-_1000;l_1001_-_1500;l_1501_-_2000;l_2001_-_3000;l_3001_-_4100;l_4101_-_6000;side;schroder;henra;special;profiled;technology;machine_m1;machine_m2;machine_m1_m2;machine_t1;machine_t2;machine_tandem_t1_t2;machine_t3;machine_adr;machine_adr2;machine_boschert;machnie_schroeder_1;machine_schroder_2;machine_temabend_h300;machine_temabend_pg53;punch;matrix
1;ALU;1.5;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;KG do L=3000 R1.5 ALUMINIUM;1;1;0;2;2;0;1;0;1;0;0;0;0;0;SS R 1.5 Wcięty;SM V16  H110
2;ALU;3;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;KG do L=3000 R3 ALUMINIUM;2;2;0;1;1;0;1;0;1;0;0;0;0;0;TS R 3.0 Wcięty;TM V25 H110
3;ALU;5;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;KG do L=3000 R5 ALUMINIUM;1;1;0;1;1;0;1;0;2;0;0;0;0;0;RS R 5.0 Prosty;RM V30 H100
4;ALU RYFL;1.5;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;KG do L=3000 R1.5 ALUMINIUM;1;1;0;2;2;0;1;0;2;0;0;0;0;0;SS R 1.5 Wcięty;SM V16  H110
5;ALU RYFL;3;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;KG do L=3000 R3 ALUMINIUM;2;2;0;1;1;0;1;0;1;0;0;0;0;0;TS R 3.0 Wcięty;TM V25 H110
6;ALU RYFL;5;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;KG do L=3000 R5 ALUMINIUM;1;1;0;1;1;0;1;0;2;0;0;0;0;0;RS R 5.0 Prosty;RM V30 H100
7;CZARNA;1.5;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;KG do L= 500 R1.5 CZARNA;1;1;0;2;2;0;0;0;1;2;0;0;0;0;SS R 1.5 Wcięty;SM V16  H110
8;CZARNA;1.5;PRAWDA;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;KG do L= 500 R1.5 CZARNA JEDEN TAKT;1;1;0;2;2;0;0;2;1;2;0;0;0;0;SS R 1.5 Wcięty;SM V16  H110
9;CZARNA;2;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;KG do L= 500 R2 CZARNA na stemplu podgiętym;1;1;0;1;1;0;0;0;0;2;0;0;0;0;GS R 2.0 Podgięty;KXM V22 H60
10;CZARNA;3;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;KG do L= 500 R3 CZARNA;2;2;0;1;1;0;0;0;0;2;0;0;0;0;TS R 3.0 Wcięty;TM V25 H110
